fo,aug,an,en,mc
10,90,0,0,0
20,80,0,0,0
30,70,0,0,0
40,60,0,0,0
50,50,0,0,0
60,40,0,0,0
70,30,0,0,0
80,20,0,0,0
90,10,0,0,0
10,0,90,0,0
20,0,80,0,0
30,0,70,0,0
40,0,60,0,0
50,0,50,0,0
60,0,40,0,0
70,0,30,0,0
80,0,20,0,0
90,0,10,0,0
10,0,0,90,0
20,0,0,80,0
30,0,0,70,0
40,0,0,60,0
50,0,0,50,0
60,0,0,40,0
70,0,0,30,0
80,0,0,20,0
90,0,0,10,0
0,10,90,0,0
0,20,80,0,0
0,30,70,0,0
0,40,60,0,0
0,50,50,0,0
0,60,40,0,0
0,70,30,0,0
0,80,20,0,0
0,90,10,0,0
0,10,0,90,0
0,20,0,80,0
0,30,0,70,0
0,40,0,60,0
0,50,0,50,0
0,60,0,40,0
0,70,0,30,0
0,80,0,20,0
0,90,0,10,0
0,0,10,90,0
0,0,20,80,0
0,0,30,70,0
0,0,40,60,0
0,0,50,50,0
0,0,60,40,0
0,0,70,30,0
0,0,80,20,0
0,0,90,10,0